Name &,Abbreviation,Population,Total area,Pop Density,Latitude,Longitude,Temperature (F),Rainfall,Morning,Afternoon,Humidity,Percent Forest,Temperature (C),Arson
 Alabama,AL,"4,874,747","52,420",95.4,32.6010112,-86.6807365,62.8,58.3,84,52,68,0.7057,17.1,10.31
 Alaska,AK,"739,795","665,384",1.3,61.3025006,-158.7750198,26.6,22.5,77,64,70.5,0.3516,-3,29.38
 Arizona,AZ,"7,016,270","113,990",58.3,34.1682185,-111.930907,60.3,13.6,53,25,39,0.2564,15.7,20.81
 Arkansas,AR,"3,004,279","53,179",56.9,34.7519275,-92.1313784,60.4,50.6,85,49,67,0.5631,15.8,22.49
 California,CA,"39,536,653","163,695",246.1,37.2718745,-119.2704153,59.4,22.2,76,62,69,0.3271,15.2,21.51
 Colorado,CO,"5,607,154","104,094",50.8,38.9979339,-105.550567,45.1,15.9,60,35,47.5,0.3442,7.3,21.9
 Connecticut,CT,"3,588,184","5,543",742.6,41.5187835,-72.757507,49,50.3,79,52,65.5,0.5524,9.4,10.38
 Delaware,DE,"961,939","2,489",475.1,39.145251,-75.4189206,55.3,45.7,79,54,66.5,0.2726,12.9,9.13
 Florida,FL,"20,984,400","65,758",364.6,27.9757279,-83.8330166,70.7,54.5,87,57,72,0.5068,21.5,12.43
 Georgia,GA,"10,429,379","59,425",173.7,32.6781248,-83.2229757,63.5,50.7,86,50,68,0.6728,17.5,13.04
 Hawaii,HI,"1,427,538","10,932",218.6,20.46,-157.505,70,63.7,71,56,63.5,0.4253,21.1,35.8
 Idaho,ID,"1,716,943","83,569",19.5,45.4945756,-114.1424303,44.4,18.9,68,41,54.5,0.4055,6.9,18.39
 Illinois,IL,"12,802,023","57,914",232.0,39.739318,-89.504139,51.8,39.2,83,58,70.5,0.1364,11,14.81
 Indiana,IN,"6,666,818","36,420",183.4,39.7662195,-86.441277,51.7,41.7,83,58,70.5,0.2106,10.9,24.94
 Iowa,IA,"3,145,711","56,273",55.3,41.9383166,-93.389798,47.8,34,78,56,67,0.0843,8.8,21.79
 Kansas,KS,"2,913,123","82,278",35.4,38.4987789,-98.3200779,54.3,28.9,80,50,65,0.0478,12.4,22.95
 Kentucky[E],KY,"4,454,189","40,408",111.3,37.8222935,-85.7682399,55.6,48.9,79,55,67,0.4935,13.1,14.79
 Louisiana,LA,"4,684,333","52,378",107.1,30.9733766,-91.4299097,66.4,60.1,87,61,74,0.5320,19.1,20.49
 Maine,ME,"1,335,907","35,380",43.1,45.2185133,-69.0148656,41,42.2,82,61,71.5,0.8946,5,13.96
 Maryland,MD,"6,052,177","12,406",610.8,38.8063524,-77.2684162,54.2,44.5,77,52,64.5,0.3936,12.3,35.82
 Massachusetts[E],MA,"6,859,819","10,554",858.0,42.0629398,-71.718067,47.9,47.7,75,59,67,0.6057,8.8,8.54
 Michigan,MI,"9,962,311","96,714",175.0,44.9435598,-86.4158049,44.4,32.8,84,61,72.5,0.5562,6.9,31.51
 Minnesota,MN,"5,576,606","86,936",68.1,46.4418595,-93.3655146,41.2,27.3,78,55,66.5,0.3408,5.1,17.24
 Mississippi,MS,"2,984,100","48,432",63.7,32.5851062,-89.8772196,63.4,59,91,54,72.5,0.6507,17.4,25.56
 Missouri,MO,"6,113,532","69,707",87.9,38.3046615,-92.437099,54.5,42.2,82,53,67.5,0.3516,12.5,26.04
 Montana,MT,"1,050,493","147,040",7.0,46.6797995,-110.044783,42.7,15.3,71,45,58,0.2745,5.9,19.55
 Nebraska,NE,"1,920,076","77,348",24.3,41.5008195,-99.680902,48.8,23.6,82,53,67.5,0.0320,9.3,13.19
 Nevada,NV,"2,998,039","110,572",25.4,38.502032,-117.0230604,49.9,9.5,71,32,51.5,0.1589,9.9,14.54
 New Hampshire,NH,"1,342,795","9,349",147.8,44.0012306,-71.5799231,43.8,43.4,84,53,68.5,0.8432,6.6,20
 New Jersey,NJ,"9,005,644","8,723","1,210.1",40.1430058,-74.7311156,52.7,47.1,83,59,71,0.4172,11.5,9.5
 New Mexico,NM,"2,088,070","121,590",17.2,34.1662325,-106.0260685,53.4,14.6,60,29,44.5,0.3199,11.9,17.83
 New York,NY,"19,849,399","54,555",417.0,40.7056258,-73.97968,45.4,41.8,82,61,71.5,0.6288,7.4,5.16
 North Carolina,NC,"10,273,419","53,819",202.6,35.2145629,-79.8912675,59,50.3,83,52,67.5,0.5973,15,23.32
  North Dakota,ND,"755,393","70,698",10.5,47.4678819,-100.3022655,40.4,17.8,80,51,65.5,0.0172,4.7,13.07
 Ohio,OH,"11,658,609","44,826",283.2,40.1903624,-82.6692525,50.7,39.1,80,57,68.5,0.3092,10.4,37.2
 Oklahoma,OK,"3,930,864","69,899",56.1,35.3097654,-98.7165585,59.6,36.5,79,48,63.5,0.2880,15.3,24.21
 Oregon,OR,"4,142,776","98,379",40.9,44.1419049,-120.5380993,48.4,27.4,85,59,72,0.4851,9.1,31.01
 Pennsylvania[E],PA,"12,805,537","46,054",285.5,40.9945928,-77.6046984,48.8,42.9,77,54,65.5,0.5860,9.3,12.36
 Rhode Island[F],RI,"1,059,639","1,545","1,017.1",41.5827282,-71.5064508,50.1,47.9,78,57,67.5,0.5438,10.1,17.78
 South Carolina,SC,"5,024,369","32,020",158.8,33.62505,-80.9470381,62.4,49.8,86,49,67.5,0.6819,16.9,17.32
 South Dakota,SD,"869,666","77,116",11.1,44.2126995,-100.2471641,45.2,20.1,83,53,68,0.0393,7.3,14.46
 Tennessee,TN,"6,715,984","42,144",157.5,35.830521,-85.9785989,57.6,54.2,84,53,68.5,0.5283,14.2,20.76
 Texas,TX,"28,304,596","268,596",101.2,31.1693363,-100.0768425,64.8,28.9,82,49,65.5,0.3733,18.2,20.12
 Utah,UT,"3,101,833","84,897",35.3,39.4997605,-111.547028,48.6,12.2,67,43,55,0.3448,9.2,10.26
 Vermont,VT,"623,657","9,616",68.0,43.8717545,-72.4477828,42.9,42.7,77,58,67.5,0.7782,6.1,8.87
 Virginia[E],VA,"8,470,020","42,775",209.2,38.0033855,-79.4587861,55.1,44.3,84,52,68,0.6293,12.8,18.65
 Washington,WA,"7,405,743","71,298",104.9,38.8993487,-77.0145665,48.3,38.4,83,62,72.5,0.5274,9.1,22.05
 West Virginia,WV,"1,815,857","24,230",77.1,38.9201705,-80.1816905,51.8,45.2,83,59,71,0.7901,11,25.28
 Wisconsin,WI,"5,795,483","65,496",106.0,44.7862968,-89.8267049,43.1,32.6,84,58,71,0.4898,6.2,15.85
 Wyoming,WY,"579,315","97,813",6.0,43.000325,-107.5545669,42,12.9,63,43,53,0.1842,5.6,14.15
